"Word","Length","Freq_HAL","Log_Freq_HAL","MorphSp","POS"
"abortive","8","213","5.36","{abort}>ive>","JJ"
"abound","6","1065","6.97","{abound}","VB"
"abounded","8","78","4.36","{abound}>ed>","VB"
"abounding","9","100","4.61","{abound}>ing>","VB"
"abounds","7","314","5.75","{abound}>s>","VB"
"about","5","1307019","14.08","{about}","minor|RB|JJ"
"above","5","177919","12.09","{above}","minor|JJ|NN"
"aboveground","11","19","2.94","{above}{ground}","RB|JJ"
"abracadabra","11","73","4.29","{abracadabra}","minor"
"Abraham","7","3824","8.25","{abraham}","NN"
"abrasion","8","250","5.52","{abrade}>ion>","NN"
"abrasive","8","576","6.36","{abrade}>ive>","JJ"
"abreast","7","491","6.20","{abreast}","RB"
"abridged","8","797","6.68","{abridge}>ed>","VB"
"abridgment","10","42","3.74","{abridge}>ment>","NN"
"abroad","6","5984","8.70","{abroad}","RB|NN"
"abrogate","8","100","4.61","{ab--rog--ate}","VB"
"abrupt","6","719","6.58","{abrupt}","JJ"
"abruptly","8","1230","7.11","{abrupt}>ly>","RB"
"abruptness","10","23","3.14","{abrupt}>ness>","NN"
"abscess","7","96","4.56","{abscess}","NN"
"abscesses","9","109","4.69","{abscess}>s>","NN"
"abscissa","8","18","2.89","{absciss--a}","NN"
"abscond","7","17","2.83","{abscond}","VB"
"absence","7","7304","8.90","{abs--ence}","NN"
"absences","8","143","4.96","{abs--ence}>s>","NN"
"absent","6","3019","8.01","{abs--ent}","JJ"
"absented","8","4","1.39","{abs--ent}>ed>","VB"
"absentee","8","152","5.02","{abs--ent}>ee>","JJ"
"absently","8","190","5.25","{abs--ent}>ly>","RB"
"absinth","7","8","2.08","{absinth}","NN"
"absolute","8","16840","9.73","{absolute}","JJ|NN"
"absoluteness","12","23","3.14","{absolute}>ness>","NN"
"absolutely","10","36965","10.52","{absolute}>ly>","RB"
"absolutes","9","587","6.38","{absolute}>s>","NN"
"absolution","10","140","4.94","{absolute}>ion>","NN"
"absolutism","10","197","5.28","{absolute}>ism>","NN"
"absolve","7","223","5.41","{ab--solve}","VB"
"absorb","6","2787","7.93","{ab--sorb}","VB"
"absorbed","8","2954","7.99","{ab--sorb}>ed>","VB|JJ"
"absorbency","10","82","4.41","{ab--sorb}>ency>","NN"
"absorbent","9","193","5.26","{ab--sorb}>ent>","JJ"
"absorber","8","143","4.96","{ab--sorb}>er>","NN"
"absorbing","9","933","6.84","{ab--sorb}>ing>","VB|JJ"
"absorbs","7","619","6.43","{ab--sorb}>s>","VB"
"absorption","10","1735","7.46","{ab--sorb}>ion>","NN"
"absorptive","10","32","3.47","{ab--sorb}>ive>","JJ"
"abstain","7","960","6.87","{abstain}","VB"
"abstaining","10","190","5.25","{abstain}>ing>","VB|NN"
"abstention","10","72","4.28","{absten--tion}","NN"
"abstinence","10","983","6.89","{abstin--ence}","NN"
"abstinent","9","73","4.29","{abstin--ent}","JJ"
"abstract","8","8606","9.06","{abs--tract}","JJ|NN|VB"
"abstracted","10","261","5.56","{abs--tract}>ed>","JJ|VB"
"abstracting","11","113","4.73","{abs--tract}>ing>","VB|NN"
"abstraction","11","1596","7.38","{abs--tract}>ion>","NN"
"abstractly","10","143","4.96","{abs--tract}>ly>","RB"
"abstracts","9","4089","8.32","{abs--tract}>s>","NN|VB"
"abstruse","8","157","5.06","{abstruse}","JJ"
"absurd","6","4985","8.51","{absurd}","JJ|NN"
"absurdities","11","300","5.70","{absurd}>ity>>s>","NN"
"absurdity","9","1084","6.99","{absurd}>ity>","NN"
"absurdly","8","316","5.76","{absurd}>ly>","RB"
"abundance","9","1825","7.51","{abund--ance}","NN"
"abundant","8","1381","7.23","{abund--ant}","JJ"
"abuse","5","25915","10.16","{abuse}","VB"
"abused","6","6038","8.71","{abuse}>ed>","VB|JJ"
"abuses","6","3312","8.11","{abuse}>s>","VB"
"abusive","7","3526","8.17","{abuse}>ive>","JJ"
"abut","4","259","5.56","{abut}","VB"
"abutment","8","19","2.94","{abut}>ment>","NN"
"abutments","9","18","2.89","{abut}>ment>>s>","NN"
"abysmal","7","619","6.43","{abysm}>al>","JJ"
"abyss","5","4219","8.35","{abyss}","NN"
"acacia","6","213","5.36","{acacia}","NN"
"academic","8","17622","9.78","{academ--ic}","JJ|NN"
"academically","12","725","6.59","{academ--ic}>ally>","RB"
"academics","9","1817","7.50","{academ--ic}>s>","NN"
"academies","9","967","6.87","{academ--y}>s>","NN"
"academy","7","12050","9.40","{academ--y}","NN"
"Acadia","6","305","5.72","{acadia}","NN"
"Acapulco","8","180","5.19","{acapulco}","NN"
"accede","6","149","5.00","{ac--cede}","VB"
"acceded","7","62","4.13","{ac--cede}>ed>","VB"
"accent","6","5213","8.56","{accent}","NN"
"accelerando","11","7","1.95","{accelerando}","JJ|RB"
"accelerate","10","2368","7.77","{ac--celer--ate}","VB"
"accelerometer","13","70","4.25","{ac--celer--ometer}","NN"
"accented","8","1182","7.07","{accent}>ed>","VB|JJ"
"accenting","9","54","3.99","{accent}>ing>","VB|NN"
"accents","7","1796","7.49","{accent}>s>","NN"
"accentual","9","1","0.00","{accent}>ual>","JJ"
"accentuate","10","161","5.08","{accent}>uate>","VB"
"accentuated","11","193","5.26","{accent}>uate>>ed>","VB"
"accentuates","11","57","4.04","{accent}>uate>>s>","VB"
"accept","6","49430","10.81","{a--ccept}","VB"
"accolade","8","703","6.56","{accolade}","NN"
"acceptable","10","16372","9.70","{a--ccept}>able>","JJ"
"acceptance","10","8774","9.08","{a--ccept}>ance>","NN"
"accepted","8","33901","10.43","{a--ccept}>ed>","VB|JJ"
"accepting","9","7649","8.94","{a--ccept}>ing>","VB"
"accepts","7","4586","8.43","{a--ccept}>s>","VB"
"access","6","172256","12.06","{a--ccess}","NN|VB"
"accesses","8","2369","7.77","{a--ccess}>s>","NN|VB"
"accessible","10","10758","9.28","{a--ccess}>ible>","JJ"
"accessories","11","5737","8.65","{accessor--y}>s>","NN"
"accessory","9","1342","7.20","{accessor--y}","NN"
"accident","8","11152","9.32","{accid--ent}","NN"
"accidental","10","2346","7.76","{accid--ent}>al>","JJ"
"accidents","9","4163","8.33","{accid--ent}>s>","NN"
"acclaim","7","889","6.79","{acclaim}","NN|VB"
"acclaimed","9","1049","6.96","{acclaim}>ed>","VB|JJ"
"acclaims","8","7","1.95","{acclaim}>s>","VB"
"acclimate","9","97","4.57","{a--cclimate}","VB"
"acclamation","11","26","3.26","{acclaim}>ation>","NN"
"accolades","9","227","5.42","{accolade}>s>","NN"
"accommodate","11","2454","7.81","{accommodate}","VB"
"accommodated","12","301","5.71","{accommodate}>ed>","VB"
"accommodates","12","136","4.91","{accommodate}>s>","VB"
"accommodating","13","447","6.10","{accommodate}>ing>","VB|JJ"
"accommodation","13","2006","7.60","{accommodate}>ion>","NN"
"accommodations","14","1434","7.27","{accommodate}>ion>>s>","NN"
"accompanist","11","156","5.05","{a--ccompan--ist}","NN"
"accompany","9","2138","7.67","{a--ccompan--y}","VB"
"acorns","6","359","5.88","{acorn}>s>","NN"
"acoustic","8","5401","8.59","{acoust--ic}","JJ"
"acoustical","10","270","5.60","{acoust--ic}>al>","JJ"
"acoustics","9","1240","7.12","{acoust--ics}","NN"
"accomplice","10","281","5.64","{accomplice}","NN"
"accomplices","11","220","5.39","{accomplice}>s>","NN"
"accomplish","10","7794","8.96","{accomplish}","VB"
"accomplished","12","6982","8.85","{accomplish}>ed>","VB|JJ"
"accomplishes","12","592","6.38","{accomplish}>s>","VB"
"accomplishing","13","704","6.56","{accomplish}>ing>","VB"
"accomplishment","14","1301","7.17","{accomplish}>ment>","NN"
"accomplishments","15","1990","7.60","{accomplish}>ment>>s>","NN"
"accord","6","3524","8.17","{a--ccord}","NN|VB"
"accordance","10","4854","8.49","{a--ccord}>ance>","NN"
"accorded","8","563","6.33","{a--ccord}>ed>","VB"
"according","9","64745","11.08","{a--ccord}>ing>","VB|NN"
"accordion","9","590","6.38","{accordion}","NN"
"accords","7","974","6.88","{a--ccord}>s>","NN|VB"
"accost","6","31","3.43","{accost}","VB"
"accosted","8","168","5.12","{accost}>ed>","VB"
"accosting","9","24","3.18","{accost}>ing>","VB|NN"
"account","7","60958","11.02","{account}","NN|VB"
"accountable","11","2339","7.76","{account}>able>","JJ"
"accountant","10","1527","7.33","{account}>ant>","NN"
"accountability","14","1478","7.30","{account}>able>>ity>","NN"
"accountants","11","1506","7.32","{account}>ant>>s>","NN"
"accounted","9","1502","7.31","{account}>ed>","VB"
"accounting","10","15754","9.66","{account}>ing>","NN|VB"
"accounts","8","18019","9.80","{account}>s>","NN|VB"
"accredit","8","35","3.56","<a<{credit}","VB"
"accredited","10","1049","6.96","<a<{credit}>ed>","VB"
"accrue","6","611","6.42","{accrue}","VB"
"accrued","7","230","5.44","{accrue}>ed>","VB"
"accrues","7","63","4.14","{accrue}>s>","VB"
"accruing","8","155","5.04","{accrue}>ing>","VB|NN"
"accumulate","10","1392","7.24","{a--ccumul--ate}","VB"
"ached","5","296","5.69","{ache}>ed>","VB"
"aches","5","419","6.04","{ache}>s>","NN|VB"
"achieve","7","15544","9.65","{achieve}","VB"
"achieved","8","8305","9.02","{achieve}>ed>","VB|JJ"
"accuracy","8","10534","9.26","{accur--acy}","NN"
"accurate","8","21492","9.98","{accur--ate}","JJ"
"accurately","10","5396","8.59","{accur--ate}>ly>","RB"
"accurst","7","4","1.39","{a--ccurs--t}","JJ"
"accusation","10","2176","7.69","{accuse}>ation>","NN"
"accusations","11","3477","8.15","{accuse}>ation>>s>","NN"
"accusative","10","103","4.63","{accuse}>ative>","JJ|NN"
"accuse","6","3798","8.24","{accuse}","VB"
"accused","7","9093","9.12","{accuse}>ed>","VB|NN|JJ"
"accuses","7","809","6.70","{accuse}>s>","VB"
"accusing","8","2296","7.74","{accuse}>ing>","VB|JJ"
"accusingly","10","39","3.66","{accuse}>ing>>ly>","RB"
"accustom","8","75","4.32","{a--ccustom}","VB"
"acolyte","7","444","6.10","{acolyte}","NN"
"acorn","5","8301","9.02","{acorn}","NN"
"accustomed","10","1691","7.43","{a--ccustom}>ed>","VB|JJ"
"ace","3","6967","8.85","{ace}","NN"
"acerbic","7","76","4.33","{acerb--ic}","JJ"
"aces","4","1837","7.52","{ace}>s>","NN"
"acetate","7","547","6.30","{acetate}","NN"
"acetone","7","423","6.05","{acetone}","NN"
"acetylene","9","82","4.41","{acetylene}","NN"
"ache","4","846","6.74","{ache}","VB|NN"
"achievement","11","3925","8.28","{achieve}>ment>","NN"
"achievements","12","2085","7.64","{achieve}>ment>>s>","NN"
"achieves","8","762","6.64","{achieve}>s>","VB"
"achieving","9","3180","8.06","{achieve}>ing>","VB|NN"
"Achilles","8","688","6.53","{achilles}","NN"
"aching","6","1099","7.00","{ache}>ing>","VB"
"acid","4","13610","9.52","{acid}","NN|JJ"
"acidic","6","809","6.70","{acid}>ic>","JJ"
"acidity","7","256","5.55","{acid}>ity>","NN"
"acids","5","2326","7.75","{acid}>s>","NN"
"acme","4","911","6.81","{acme}","NN"
"acne","4","536","6.28","{acne}","NN"
"acknowledge","11","6783","8.82","{ac--know--ledge}","VB"
"acquaint","8","167","5.12","{acquaint}","VB"
"acquaintance","12","1275","7.15","{acquaint}>ance>","NN"
"acquainted","10","1022","6.93","{acquaint}>ed>","VB"
"acquiesce","9","108","4.68","{acquiesce}","VB"
"acquiesced","10","111","4.71","{acquiesce}>ed>","VB"
"acquiescence","12","91","4.51","{acquiesce}>ence>","NN"
"acquiescent","11","19","2.94","{acquiesce}>ent>","JJ"
"acquire","7","6529","8.78","{ac--quire}","VB"
"acquired","8","6388","8.76","{ac--quire}>ed>","VB"
"acquires","8","460","6.13","{ac--quire}>s>","VB"
"acquiring","9","1952","7.58","{ac--quire}>ing>","VB"
"acrylic","7","844","6.74","{acrylic}","NN|JJ"
"act","3","72216","11.19","{act}","NN|VB"
"acquisition","11","5006","8.52","{ac--quisit--ion}","NN"
"acquisitive","11","40","3.69","{ac--quisit--ive}","JJ"
"acquit","6","100","4.61","{ac--quit}","VB"
"acquittal","9","249","5.52","{ac--quit}>al>","NN"
"acquitted","9","608","6.41","{ac--quit}>ed>","VB"
"acre","4","1554","7.35","{acre}","NN"
"acreage","7","231","5.44","{acre}>age>","NN"
"acres","5","3930","8.28","{acre}>s>","NN"
"acrid","5","111","4.71","{acrid}","JJ"
"acrimonious","11","113","4.73","{acrimony}>ous>","JJ"
"acrimony","8","89","4.49","{acrimony}","NN"
"acrobat","7","2449","7.80","{acrobat}","NN"
"acrobatic","9","167","5.12","{acrobat}>ic>","JJ"
"acrobatics","10","401","5.99","{acrobat}>ics>","NN"
"acrobats","8","66","4.19","{acrobat}>s>","NN"
"acronym","7","1966","7.58","{acr--onym}","NN"
"Acropolis","9","109","4.69","{acropolis}","NN"
"across","6","62336","11.04","{across}","minor"
"acted","5","4894","8.50","{act}>ed>","VB"
"acting","6","16012","9.68","{act}>ing>","VB|NN"
"action","6","77756","11.26","{act}>ion>","NN"
"actions","7","29726","10.30","{act}>ion>>s>","NN"
"activate","8","3486","8.16","{act}>ive>>ate>","VB"
"active","6","35565","10.48","{act}>ive>","JJ"
"actively","8","7101","8.87","{act}>ive>>ly>","RB"
"activism","8","1558","7.35","{act}>ive>>ism>","NN"
"activist","8","3525","8.17","{act}>ive>>ist>","NN"
"activity","8","26484","10.18","{act}>ive>>ity>","NN"
"actor","5","10471","9.26","{act}>or>","NN"
"actors","6","7249","8.89","{act}>or>>s>","NN"
"actress","7","4996","8.52","{act}>ress>","NN"
"actresses","9","1663","7.42","{act}>ress>>s>","NN"
"acts","4","19423","9.87","{act}>s>","NN|VB"
"actual","6","40919","10.62","{act--ual}","JJ|NN"
"actuality","9","950","6.86","{act--ual}>ity>","NN"
"actually","8","196457","12.19","{act--ual}>y>","RB"
"actuary","7","49","3.89","{act--uary}","NN"
"acuity","6","228","5.43","{acuity}","NN"
"acupuncture","11","525","6.26","{acu--puncture}","NN"
"acute","5","2427","7.79","{acute}","JJ|NN"
"acutely","7","332","5.81","{acute}>ly>","RB"
"acuteness","9","19","2.94","{acute}>ness>","RB"
"ad","2","43254","10.67","{ad}","NN|minor"
"Ada","3","15432","9.64","{ada}","NN"
"adage","5","503","6.22","{adage}","NN"
"Adam","4","19626","9.88","{adam}","NN|RB"
"adamant","7","624","6.44","{adamant}","JJ"
"adamantly","9","329","5.80","{adamant}>ly>","RB"
"zoologist","9","301","5.71","{zoo--log--ist}","NN"
"zoology","7","707","6.56","{zoo--log--y}","NN"
"zoom","4","4920","8.50","{zoom}","VB|NN"
"zooming","7","523","6.26","{zoom}>ing>","VB"
"zooms","5","385","5.95","{zoom}>s>","VB"
"zucchini","8","314","5.75","{zucchini}","NN"
"Zurich","6","1770","7.48","{zurich}","NN"
"won","3","27563","10.22","{won}","VB"
"wonder","6","51799","10.86","{wonder}","NN|VB"
"wondered","8","9133","9.12","{wonder}>ed>","VB"
"wonderful","9","31958","10.37","{wonder}>ful>","JJ"
"wonderfully","11","2286","7.73","{wonder}>ful>>ly>","RB"
"wonderfulness","13","50","3.91","{wonder}>ful>>ness>","NN"
"wondering","9","41742","10.64","{wonder}>ing>","VB|NN"
"wonderingly","11","17","2.83","{wonder}>ing>>ly>","RB"
"wonderland","10","965","6.87","{wonder}{land}","NN"
"wonders","7","4983","8.51","{wonder}>s>","NN|VB"
"wondrous","8","573","6.35","{wondr--ous}","JJ"
"wondrously","10","35","3.56","{wondr--ous}>ly>","RB"
"wont","4","5408","8.60","{wont}","JJ|NN|VB"
"won't","5","112554","11.63","{wo--n't}","encl"
"woo","3","1986","7.59","{woo}","VB|NN"
"wood","4","24035","10.09","{wood}","NN"
"woodbine","8","64","4.16","{woodbine}","NN"
"woodblock","9","20","3.00","{wood}{block}","NN"
"woodcarver","10","28","3.33","{wood}{carve}>er>","NN"
"woodcock","8","511","6.24","{wood}{cock}","NN"
"woodcraft","9","92","4.52","{wood}{craft}","NN"
"woodcut","7","22","3.09","{wood}{cut}","NN"
"woodcutter","10","18","2.89","{wood}{cut}>er>","NN"
"wooded","6","462","6.14","{wood}>ed>","JJ"
"wooden","6","8164","9.01","{wood}>en>","JJ"
"woodgraining","12","0","0.00","{wood}{grain}>ing>","VB"
"woodland","8","926","6.83","{wood}>land>","JJ|NN"
"woodman","7","138","4.93","{wood}>man>","NN"
"woodpecker","10","368","5.91","{wood}{peck}>er>","NN"
"woodpile","8","27","3.30","{wood}{pile}","NN"
"Woodrow","7","433","6.07","{woo--drow}","NN"
"woods","5","9313","9.14","{wood}>s>","NN"
"woodshed","8","63","4.14","{wood}{shed}","NN"
"woodsman","8","93","4.53","{wood}>s>>man>","NN"
"Woodward","8","1373","7.22","{wood}>ward>","NN"
"woodwind","8","281","5.64","{wood}{wind}","NN"
"woodwork","8","464","6.14","{wood}{work}","NN|VB"
"woodworm","8","15","2.71","{wood}{worm}","NN"
"woody","5","3061","8.03","{wood}>y>","JJ|NN"
"woodyard","8","6","1.79","{wood}{yard}","NN"
"woodworking","11","871","6.77","{wood}{work}>ing>","NN|VB"
"wooed","5","47","3.85","{woo}>ed>","VB"
"woof","4","954","6.86","{woof}","NN|VB"
"wool","4","2066","7.63","{wool}","NN"
"woolen","6","110","4.70","{wool}>en>","JJ"
"woollen","7","51","3.93","{wool}>en>","JJ"
"woolly","6","448","6.10","{wool}>y>","JJ|NN"
"woozy","5","71","4.26","{woozy}","JJ"
"Worcester","9","1692","7.43","{wor--cester}","NN"
"word","4","138155","11.84","{word}","NN"
"worded","6","1046","6.95","{word}>ed>","VB"
"wording","7","3360","8.12","{word}>ing>","NN|VB"
"wordless","8","110","4.70","{word}>less>","JJ"
"wordplay","8","119","4.78","{word}{play}","NN"
"words","5","99249","11.51","{word}>s>","NN"
"Wordsworth","10","206","5.33","{word--s--worth}","NN"
"wordy","5","267","5.59","{word}>y>","JJ"
"wore","4","5574","8.63","{wore}","VB"
"work","4","451298","13.02","{work}","NN|VB"
"workable","8","1678","7.43","{work}>able>","JJ"
"workbag","7","0","0.00","{work}{bag}","NN"
"workbasket","10","8","2.08","{work}{basket}","NN"
"workbench","9","2804","7.94","{work}{bench}","NN"
"workbook","8","558","6.32","{work}{book}","NN"
"workday","7","137","4.92","{work}{day}","NN"
"worked","6","59752","11.00","{work}>ed>","VB"
"worker","6","7057","8.86","{work}>er>","NN"
"workers","7","18819","9.84","{work}>er>>s>","NN"
"worker's","8","484","6.18","{work}>er>>'s>","encl"
"workhorse","9","220","5.39","{work}{horse}","NN"
"workhouse","9","14","2.64","{work}{house}","NN"
"working","7","134669","11.81","{work}>ing>","VB|NN|JJ"
"workingmen","10","24","3.18","{work}>ing>-{men}","NN"
"workings","8","1486","7.30","{work}>ing>>s>","NN"
"workman","7","568","6.34","{work}>man>","NN"
"workman's","9","79","4.37","{work}>man>>'s>","encl"
"workmanship","11","395","5.98","{work}>man>>ship>","NN"
"workmen","7","96","4.56","{work}>men>","NN"
"workout","7","2588","7.86","{work}{out}","NN"
"workouts","8","683","6.53","{work}{out}>s>","NN"
"workpeople","10","1","0.00","{work}{people}","NN"
"workpiece","9","61","4.11","{work}{piece}","NN"
"workroom","8","32","3.47","{work}{room}","NN"
"works","5","139173","11.84","{work}>s>","NN|VB"
"work's","6","126","4.84","{work}>'s>","encl"
"worksheet","9","421","6.04","{work}{sheet}","NN"
"workshop","8","15377","9.64","{work}{shop}","NN"
"workshops","9","5362","8.59","{work}{shop}>s>","NN"
"worktable","9","8","2.08","{work}{table}","NN"
"world","5","295523","12.60","{world}","NN"
"worldly","7","1134","7.03","{world}>ly>","JJ"
"worlds","6","11180","9.32","{world}>s>","NN"
"world's","7","12764","9.45","{world}>'s>","encl"
"worldwide","9","18597","9.83","{world}{wide}","JJ"
"worm","4","4110","8.32","{worm}","NN|VB"
"wormhole","8","2001","7.60","{worm}{hole}","NN"
"worms","5","5342","8.58","{worm}>s>","NN|VB"
"wormwood","8","1187","7.08","{worm--wood}","NN"
"wormy","5","58","4.06","{worm}>y>","JJ"
"worn","4","8275","9.02","{wore}>n>","VB|JJ"
"wornout","7","13","2.56","{wore}>n>-{out}","JJ"
"worried","7","10980","9.30","{worry}>ed>","VB|JJ"
"worriedly","9","52","3.95","{worry}>ed>>ly>","RB"
"worries","7","2478","7.82","{worry}>s>","NN|VB"
"worrisome","9","236","5.46","{worry}>some>","JJ"
"worry","5","27060","10.21","{worry}","VB|NN"
"worrying","8","3092","8.04","{worry}>ing>","VB|NN|JJ"
"worse","5","34812","10.46","{worse}","JJ|RB|NN"
"worsen","6","400","5.99","{worse}>en>","VB"
"worsened","8","334","5.81","{worse}>en>>ed>","VB"
"worsens","7","111","4.71","{worse}>en>>s>","VB"
"worship","7","9668","9.18","{worship}","NN|VB"
"worshipful","10","82","4.41","{worship}>ful>","JJ"
"worshiping","10","508","6.23","{worship}>ing>","VB|NN|JJ"
"worshipped","10","959","6.87","{worship}>ed>","VB"
"worshippers","11","601","6.40","{worship}>er>>s>","NN"
"worshipping","11","952","6.86","{worship}>ing>","VB"
"worst","5","23946","10.08","{worst}","JJ|RB|NN|VB"
"worsted","7","37","3.61","{worst}>ed>","JJ|VB"
"wort","4","1623","7.39","{wort}","NN"
"worth","5","81429","11.31","{worth}","JJ|NN|RB|minor"
"worthiest","9","4","1.39","{worth}>y>>est>","JJ"
"worthless","9","5546","8.62","{worth}>less>","JJ"
"worthlessness","13","132","4.88","{worth}>less>>ness>","NN"
"worthwhile","10","5520","8.62","{worth}{while}","JJ"
"worthy","6","6530","8.78","{worth}>y>","JJ"
"would","5","1278502","14.06","{would}","VB"
"wouldbe","7","57","4.04","{would}{be}","JJ"
"wouldn't","8","87980","11.38","{would}>n't>","encl"
"wound","5","6139","8.72","{wound}","VB"
"wounded","7","3852","8.26","{wound}>ed>","VB|JJ"
"wounding","8","313","5.75","{wound}>ing>","VB"
"wounds","6","2743","7.92","{wound}>s>","NN|VB"
"wove","4","116","4.75","{wove}","VB"
"woven","5","884","6.78","{wove}>en>","VB|JJ"
"wow","3","14332","9.57","{wow}","minor|NN|VB"
"wrack","5","43","3.76","{wrack}","NN|VB"
"wraith","6","3289","8.10","{wraith}","NN"
"wrangle","7","99","4.60","{wrangle}","NN|VB"
"wrangled","8","20","3.00","{wrangle}>ed>","VB"
"wrangler","8","788","6.67","{wrangle}>er>","NN"
"wrap","4","5973","8.70","{wrap}","VB|NN"
"wrapped","7","6130","8.72","{wrap}>ed>","VB"
"wrapper","7","1761","7.47","{wrap}>er>","NN"
"wrappers","8","814","6.70","{wrap}>er>>s>","NN"
"wrapping","8","1681","7.43","{wrap}>ing>","VB"
"wraps","5","1747","7.47","{wrap}>s>","VB"
"wrath","5","5643","8.64","{wrath}","NN"
"wrathful","8","43","3.76","{wrath}>ful>","JJ"
"wreak","5","453","6.12","{wreak}","VB"
"wreath","6","287","5.66","{wreath}","NN"
"wreathe","7","9","2.20","{wreathe}","VB"
"wreathed","8","33","3.50","{wreathe}>ed>","VB|JJ"
"wreaths","7","83","4.42","{wreath}>s>","NN"
"wreck","5","2161","7.68","{wreck}","NN|VB"
"wreckage","8","452","6.11","{wreck}>age>","NN"
"wrecked","7","802","6.69","{wreck}>ed>","VB|JJ"
"wrecker","7","72","4.28","{wreck}>er>","NN"
"wrecking","8","406","6.01","{wreck}>ing>","VB|NN"
"wren","4","692","6.54","{wren}","NN"
"wrench","6","1389","7.24","{wrench}","VB|NN"
"wrenched","8","168","5.12","{wrench}>ed>","VB"
"wrenches","8","341","5.83","{wrench}>s>","NN|VB"
"wrenching","9","240","5.48","{wrench}>ing>","JJ|VB"
"wrest","5","150","5.01","{wrest}","VB"
"wrestle","7","952","6.86","{wrestle}","VB"
"wrestler","8","1141","7.04","{wrestle}>er>","NN"
"wrestler's","10","44","3.78","{wrestle}>er>>'s>","encl"
"wrestles","8","90","4.50","{wrestle}>s>","VB"
"wrestling","9","5323","8.58","{wrestle}>ing>","VB|NN"
"wrestlings","10","5","1.61","{wrestle}>ing>>s>","NN"
"wretch","6","153","5.03","{wretch}","NN"
"wretched","8","3585","8.18","{wretch}>ed>","JJ"
"wretchedness","12","45","3.81","{wretch}>ed>>ness>","NN"
"wriggle","7","251","5.53","{wriggle}","NN|VB"
"wright","6","8275","9.02","{wright}","NN"
"Wrigley","7","383","5.95","{wrig--ley}","NN"
"wring","5","266","5.58","{wring}","VB|NN"
"wringer","7","70","4.25","{wring}>er>","NN"
"wrings","6","17","2.83","{wring}>s>","VB|NN"
"wrinkle","7","385","5.95","{wrinkle}","NN|VB"
"wrinkled","8","560","6.33","{wrinkle}>ed>","JJ|VB"
